,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Kloulklubed,7.04,134.26,84.2,79,75,10.29,PW
1,Busselton,-33.65,115.33,54,61,13,8.05,AU
2,Namangan,41,71.67,50,76,13,4.7,UZ
3,Rikitea,-23.12,-134.97,76.37,75,24,12.77,PF
4,Bredasdorp,-34.53,20.04,59,94,100,0.36,ZA
5,Albany,42.6,-73.97,41,30,40,17.22,US
6,Saint-Philippe,-21.36,55.77,75.2,69,19,13.87,RE
7,Muroto-misakicho,33.28,134.15,57.2,67,75,4.7,JP
8,Norman Wells,65.28,-126.83,44.6,81,75,12.75,CA
9,Cape Town,-33.93,18.42,59,93,86,4.7,ZA
10,Mataura,-46.19,168.86,46,95,100,5.99,NZ
11,Parabel',58.7,81.48,33.94,94,76,2.24,RU
12,Hambantota,6.12,81.12,79.86,82,16,3.85,LK
13,Ushuaia,-54.8,-68.3,57.2,54,98,20.8,AR
14,Ahipara,-35.17,173.17,66.29,85,100,18.25,NZ
15,Hillsborough,37.57,-122.38,69.01,67,75,17.22,US
16,Lavrentiya,65.58,-171,30.76,97,100,9.17,RU
17,Narsaq,60.92,-46.05,32,91,100,1.12,GL
18,Half Moon Bay,37.46,-122.43,69.01,81,90,6.93,US
19,Puerto Carreño,6.19,-67.49,93.2,34,86,6.8,CO
20,Balkanabat,39.51,54.37,60.49,47,27,3.67,TM
21,North Bend,43.41,-124.22,73.99,27,1,10.29,US
22,Plettenberg Bay,-34.05,23.37,60.55,75,52,4.29,ZA
23,Puerto Ayora,-0.74,-90.35,82.4,83,75,12.75,EC
24,New Norfolk,-42.78,147.06,51.8,53,75,21.92,AU
25,Port Alfred,-33.59,26.89,57.99,86,0,4,ZA
26,Kahului,20.89,-156.47,84.2,48,40,21.92,US
27,Port Shepstone,-30.74,30.45,64.45,74,3,4.81,ZA
28,Rawtenstall,53.7,-2.28,50,57,31,9.17,GB
29,Vaini,-21.2,-175.2,80.6,74,75,4.7,TO
30,Caravelas,-17.71,-39.25,78.21,86,30,6.73,BR
31,Saldanha,-33.01,17.94,57.2,87,83,3.36,ZA
32,Chokurdakh,70.63,147.92,-4.65,91,87,9.93,RU
33,Hobart,-42.88,147.33,51.8,50,20,17.22,AU
34,Ribeira Grande,38.52,-28.7,58.57,76,31,10.67,PT
35,Severo-Kuril'sk,50.68,156.12,31.28,95,96,13.29,RU
36,Aransas Pass,27.91,-97.15,75.2,57,1,12.75,US
