,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Rikitea,-23.12,-134.97,77.18,65,1,2.51,PF
1,Saint-Pierre,-21.34,55.48,77,73,9,17.22,RE
2,Jamestown,42.1,-79.24,33.01,92,90,5.82,US
3,Puteyets,65.17,57.09,32.72,92,68,8.03,RU
4,Piaçabuçu,-10.41,-36.43,80.89,81,6,8.05,BR
5,Shache,38.42,77.24,53.19,60,100,1.86,CN
6,Clyde River,70.47,-68.59,10.4,85,40,18.34,CA
7,Chapleau,47.84,-83.4,35.6,37,75,8.05,CA
8,Ossora,59.24,163.07,19.98,91,0,7.18,RU
9,Chui,-33.7,-53.46,64.42,77,2,6.64,UY
10,São Félix do Xingu,-6.64,-51.99,71.53,91,100,2.24,BR
11,Ahipara,-35.17,173.17,67.06,86,46,21.47,NZ
12,Poum,-20.23,164.02,78.55,76,100,10.58,NC
13,Hobart,-42.88,147.33,48.99,61,40,21.92,AU
14,Punta Arenas,-53.15,-70.92,57.2,47,66,11.41,CL
15,Shimoda,34.67,138.95,59,93,75,12.75,JP
16,Torbay,47.67,-52.73,39,40,75,11.41,CA
17,Albany,42.6,-73.97,50,22,100,10.02,US
18,Mar del Plata,-38,-57.56,71.01,52,65,11.41,AR
19,Bredasdorp,-34.53,20.04,55.4,76,100,3.36,ZA
20,San Patricio,19.22,-104.7,82.4,78,5,17.22,MX
21,New Norfolk,-42.78,147.06,48.99,81,66,1.01,AU
22,Bambous Virieux,-20.34,57.76,77,78,75,6.93,MU
23,Guane,22.2,-84.09,86.59,58,21,4.92,CU
24,Byron Bay,-28.65,153.62,69.8,94,75,9.17,AU
25,Robstown,27.79,-97.67,80.6,74,90,14.99,US
26,Port Hardy,50.7,-127.42,51.8,81,75,12.75,CA
27,Ushibukamachi,32.19,130.02,62.94,64,40,21.45,JP
28,Kennett,36.24,-90.06,71.01,56,100,17.22,US
29,Bundaberg,-24.85,152.35,70,94,93,4.7,AU
30,Vrangel',42.73,133.08,39.81,71,98,10.29,RU
31,Vaini,-21.2,-175.2,78.8,74,20,9.17,TO
32,Melo,-32.37,-54.18,65.84,67,62,6.33,UY
33,Busselton,-33.65,115.33,54,59,93,7.27,AU
34,Yellowknife,62.46,-114.35,26.6,58,75,11.41,CA
